ts_code,company_name,year,debt_to_assets,current_ratio,roe,roa,assets_turn,grossprofit_margin,netprofit_margin,profit_to_gr,interest_coverage_w,high_credit_risk,credit_risk_score
600048.SH,保利发展,2023,76.5451,1.5589,6.1129,1.9571,0.2386,16.008,5.1608,5.1599,7.4389,0,0.48502079002079
600048.SH,保利发展,2024,74.3444,1.6151,2.525,1.4125,0.2249,13.9272,3.1245,3.1245,4.8989,0,0.5028711018711018
600064.SH,南京高科,2020,56.7446,1.1033,16.0803,8.1304,0.0948,39.8976,54.27930399999996,54.20573599999996,18.2958,0,0.3092494802494803
600064.SH,南京高科,2021,51.6291,1.0929,16.6075,8.7797,0.1503,22.7836,48.8405,48.6832,14.2218,0,0.3098752598752599
600064.SH,南京高科,2022,52.7958,1.0765,15.1884,8.0309,0.1275,18.5882,54.27930399999996,54.20573599999996,16.0161,0,0.31577754677754677
600064.SH,南京高科,2023,50.2353,1.1558,9.15,4.2577,0.1267,12.3272,31.3667,31.3234,7.2264,0,0.35495218295218295
600064.SH,南京高科,2024,47.9732,1.1694,9.4935,4.5366,0.0523,21.8811,54.27930399999996,54.20573599999996,8.226,0,0.3393014553014553
600094.SH,大名城,2020,62.6782,1.913,3.4406,3.2759,0.3719,17.7841,3.5247,3.5247,2.3588,0,0.4271247401247401
600094.SH,大名城,2021,67.1509,1.6914,-3.2057,-0.1698,0.197,17.6817,-4.2944,-4.2944,-0.2805,1,0.6164615384615384
600094.SH,大名城,2022,63.2949,1.4639,1.3729,1.2805,0.1974,17.7244,2.6077,2.6077,3.3083,0,0.4796382536382536
600094.SH,大名城,2023,48.9397,1.7716,1.7919,2.8037,0.3901,15.9098,1.9368,1.9368,10.1966,0,0.2977962577962578
600094.SH,大名城,2024,43.523,1.9647,-20.6229,-7.553444,0.19,15.9811,-57.1319,-57.1319,-14.0041,1,0.5583804573804574
600113.SH,浙江东日,2020,24.505208,1.7487,2.0284,2.684,0.2616,41.4943,5.1548,5.1548,79.51361199999998,0,0.18344490644490646
600159.SH,大龙地产,2020,43.7671,2.0956,4.4138,3.2586,0.2233,33.0946,10.4413,10.4413,22.4716,0,0.19033264033264033
600162.SH,香江控股,2020,77.8583,1.219,5.2889,3.6135,0.2039,43.0673,5.2855,5.2855,2.3288,0,0.6619646569646569
600162.SH,香江控股,2021,74.3454,1.2659,2.9782,2.9155,0.2064,37.2597,1.1015,1.1015,1.3652,1,0.6627629937629937
600162.SH,香江控股,2022,72.2597,1.351,3.4954,2.4645,0.2242,31.9045,1.394,1.394,1.6156,0,0.61002079002079
600162.SH,香江控股,2023,68.6331,1.2356,1.0723,2.162,0.1482,36.5969,-1.4649,-1.4649,1.3002,1,0.6310727650727651
600162.SH,香江控股,2024,65.9506,1.2939,1.0116,1.3044,0.2035,29.1673,-3.0407,-3.0407,0.9973,1,0.6174407484407484
